city,country,population,lat,lon,temperature,windspeed,winddirection,pm25,pm10,no2,o3
Enugu,Nigeria,906658,6.4496519,7.5136856,26.0,7.0,215.0,35.3,53.0,4.1,70.0
Yongzhou,China,904031,26.423568,111.6081495,16.2,8.4,47.0,90.3,90.6,16.8,82.0
Fuxin,China,903628,42.0151733,121.6452868,-8.4,4.7,157.0,13.2,13.8,16.1,49.0
Xinghua,China,902334,32.9139151,119.8476035,9.2,18.4,78.0,7.8,10.0,4.3,77.0
Bunia,DR Congo,900351,1.5620529,30.2478844,25.0,11.0,308.0,24.4,26.0,0.7,97.0
Libreville,Gabon,899225,0.4086518,9.4418849,27.4,5.5,101.0,5.6,6.2,3.2,60.0
Maiduguri,Nigeria,898535,11.8395375,13.1536214,22.1,9.8,73.0,95.7,441.4,1.7,47.0
Yibin,China,897493,28.7555245,104.6406023,15.9,9.2,349.0,53.3,53.4,20.8,67.0
Indianapolis,United States,892551,39.7683331,-86.1583502,-1.4,7.3,70.0,6.1,6.1,13.3,35.0
Huaihua,China,892519,27.5713952,109.9972341,11.9,14.5,354.0,94.3,94.5,11.3,66.0
Xinyang,China,890375,32.1461721,114.0852134,1.6,21.6,3.0,33.6,34.1,25.3,32.0
Xiaogan,China,887939,30.919414,113.9516901,8.1,23.8,359.0,30.5,31.2,18.5,49.0
Ipoh,Malaysia,887711,4.5986817,101.0900236,30.7,7.6,245.0,19.8,20.1,5.5,104.0
Yangquan,China,886584,37.8563328,113.5740284,-6.6,3.8,73.0,17.8,18.9,18.8,53.0
Kottayam,India,885396,9.591564,76.5221599,31.0,9.2,281.0,33.2,35.5,2.2,176.0
Luzhou,China,884046,28.8744722,105.4385063,15.4,6.4,322.0,65.4,65.7,24.4,61.0
Tainan,Taiwan,880865,22.9912348,120.184982,22.9,31.8,355.0,24.4,30.4,22.5,97.0
Tianshui,China,878063,34.5797531,105.7062921,1.2,27.4,358.0,5.8,7.0,2.5,82.0
Benguela,Angola,878004,-12.5790048,13.4037117,28.1,4.9,306.0,8.1,11.5,2.8,59.0
Bozhou,China,877072,33.8490794,115.7730968,0.6,18.7,11.0,40.2,41.4,28.8,27.0
Donetsk,Ukraine,876063,48.0158753,37.8013407,4.2,9.0,265.0,14.2,16.4,7.8,31.0
Zanzibar,Tanzania,873982,-6.1664908,39.2074312,27.8,6.6,9.0,5.1,7.1,0.2,42.0
Kunshan,China,873638,31.3869323,120.9764683,10.8,15.6,64.0,32.0,34.8,64.3,21.0
Zhuji,China,869441,29.7112121,120.2419855,14.2,12.9,60.0,14.4,16.5,11.0,86.0
Jincheng,China,863282,35.4913132,112.8454497,-0.1,1.5,284.0,34.7,34.9,15.7,82.0
Malanje,Angola,861380,-9.5483991,16.3475335,22.5,6.8,288.0,2.6,3.3,0.4,46.0
Eskisehir,Turkey,860518,39.7743941,30.519116,3.5,3.1,36.0,23.4,29.3,16.5,26.0
